id,feature_1,feature_2,feature_3,feature_4,feature_5,target
1,0.123,1.234,A,true,"This is a sample text for demonstration purposes",0
2,-1.456,0.567,B,false,"Another example of text data in the dataset",1
3,2.789,-0.890,C,true,"Sample text with different characteristics",2
4,0.987,2.345,D,false,"Text data for machine learning applications",3
5,-0.654,-1.234,E,true,"Demonstration of various text patterns",4
6,1.234,0.789,A,false,"Sample dataset for research and development",0
7,-2.345,1.567,B,true,"Text features for natural language processing",1
8,0.456,-0.123,C,false,"Machine learning dataset examples",2
9,1.789,2.123,D,true,"Research dataset with multiple features",3
10,-0.987,-1.567,E,false,"Comprehensive dataset for analysis",4
11,0.321,0.456,A,true,"Sample data point with balanced features",0
12,-1.234,1.789,B,false,"Text data with various characteristics",1
13,2.567,-0.456,C,true,"Machine learning dataset structure",2
14,0.654,2.789,D,false,"Research dataset for academic use",3
15,-0.432,-0.987,E,true,"Comprehensive analysis dataset",4
16,1.123,0.234,A,false,"Sample text for demonstration",0
17,-2.789,1.456,B,true,"Dataset with multiple feature types",1
18,0.876,-1.234,C,false,"Machine learning research data",2
19,1.543,2.456,D,true,"Academic dataset for analysis",3
20,-0.765,-0.543,E,false,"Research dataset with text features",4 